Threat,Feature,Classification,Reason
DDoS,Flow IAT Min,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Fwd IAT Total,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Fwd IAT Mean,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Fwd IAT Std,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Fwd IAT Max,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Fwd IAT Min,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Bwd IAT Total,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Bwd IAT Mean,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Bwd IAT Std,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Bwd IAT Max,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Bwd IAT Min,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Fwd PSH Flags,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Bwd PSH Flags,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Fwd URG Flags,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Bwd URG Flags,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Fwd Header Length,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Bwd Header Length,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Fwd Packets/s,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Bwd Packets/s,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Min Packet Length,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Max Packet Length,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Packet Length Mean,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Packet Length Std,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Packet Length Variance,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,FIN Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,SYN Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,RST Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,PSH Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,ACK Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,URG Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,CWE Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,ECE Flag Count,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Down/Up Ratio,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Average Packet Size,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Avg Fwd Segment Size,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Avg Bwd Segment Size,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Fwd Header Length.1,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Fwd Avg Bytes/Bulk,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Fwd Avg Packets/Bulk,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Fwd Avg Bulk Rate,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Bwd Avg Bytes/Bulk,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Bwd Avg Packets/Bulk,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Bwd Avg Bulk Rate,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Subflow Fwd Packets,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Subflow Fwd Bytes,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Subflow Bwd Packets,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Subflow Bwd Bytes,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,Init_Win_bytes_forward,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Init_Win_bytes_backward,Responder-dependent,Requires traffic from the reverse/responder direction.
DDoS,act_data_pkt_fwd,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,min_seg_size_forward,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
DDoS,Active Mean,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Active Std,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Active Max,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Active Min,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Idle Mean,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Idle Std,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Idle Max,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
DDoS,Idle Min,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
C2_Botnet,StartTime,Observable,Can be obtained from the monitored traffic without requiring responder traffic.
C2_Botnet,Dur,Responder-dependent,Original flow duration represents the complete flow and may require observing both directions/end of the transaction.
C2_Botnet,Proto,Observable,Can be obtained from the monitored traffic without requiring responder traffic.
C2_Botnet,SrcAddr,Observable,Can be obtained from the monitored traffic without requiring responder traffic.
C2_Botnet,Sport,Observable,Can be obtained from the monitored traffic without requiring responder traffic.
C2_Botnet,Dir,Observable,Direction metadata describes the observed communication direction; exact encoding should be validated.
C2_Botnet,DstAddr,Observable,Can be obtained from the monitored traffic without requiring responder traffic.
C2_Botnet,Dport,Observable,Can be obtained from the monitored traffic without requiring responder traffic.
C2_Botnet,State,Discussion/validate,Protocol transaction state may depend on bidirectional traffic; exact one-way observability must be validated.
C2_Botnet,sTos,Observable,Can be obtained from the monitored traffic without requiring responder traffic.
C2_Botnet,dTos,Responder-dependent,Destination-side Type of Service information can depend on the reverse/responder direction.
C2_Botnet,TotPkts,Responder-dependent,Original value represents total packets/bytes exchanged and can include both traffic directions.
C2_Botnet,TotBytes,Responder-dependent,Original value represents total packets/bytes exchanged and can include both traffic directions.
C2_Botnet,SrcBytes,Observable,Source-to-destination bytes can be obtained when the monitored direction is source to destination.
C2_Botnet,Label,Excluded/label,"Classification target, not an input feature."
DGA_DNS_Tunnelling,Timestamp,Observable,Can be obtained from the monitored DNS traffic without requiring responder traffic.
DGA_DNS_Tunnelling,Source IP,Observable,Can be obtained from the monitored DNS traffic without requiring responder traffic.
DGA_DNS_Tunnelling,Destination IP,Observable,Can be obtained from the monitored DNS traffic without requiring responder traffic.
DGA_DNS_Tunnelling,Source Port,Observable,Can be obtained from the monitored DNS traffic without requiring responder traffic.
DGA_DNS_Tunnelling,Destination Port,Observable,Can be obtained from the monitored DNS traffic without requiring responder traffic.
DGA_DNS_Tunnelling,Protocol,Observable,Can be obtained from the monitored DNS traffic without requiring responder traffic.
DGA_DNS_Tunnelling,DNS Query Name,Observable,Can be obtained directly from the observed DNS query without requiring the DNS response.
DGA_DNS_Tunnelling,DNS Query Name Length,Observable,Can be obtained directly from the observed DNS query without requiring the DNS response.
DGA_DNS_Tunnelling,DNS Query Name Entropy,Observable,Can be obtained directly from the observed DNS query without requiring the DNS response.
DGA_DNS_Tunnelling,DNS Query Type,Observable,Can be obtained directly from the observed DNS query without requiring the DNS response.
DGA_DNS_Tunnelling,DNS Response Code,Responder-dependent,Requires observing DNS response traffic from the resolver/server.
DGA_DNS_Tunnelling,DNS Record Type,Responder-dependent,Requires observing DNS response traffic from the resolver/server.
DGA_DNS_Tunnelling,DNS Record Count,Responder-dependent,Requires observing DNS response traffic from the resolver/server.
DGA_DNS_Tunnelling,DNS Message Length,Discussion/validate,"Can be observable from a DNS message, but whether the dataset value represents only the monitored request or the full exchange must be validated."
DGA_DNS_Tunnelling,Inter-Arrival Time,Observable,Can be calculated from timestamps of observed DNS queries.
DGA_DNS_Tunnelling,Query Count,Observable,Can be calculated from observed DNS queries over the monitoring interval.
DGA_DNS_Tunnelling,Response Count,Responder-dependent,Requires observing DNS response traffic from the resolver/server.
DGA_DNS_Tunnelling,Label,Excluded/label,"Classification target, not an input feature."
Encrypted_Malware,Timestamp,Observable,Timestamp is available from observed network traffic.
Encrypted_Malware,Source IP,Observable,Can be obtained from the monitored traffic without requiring responder traffic.
Encrypted_Malware,Destination IP,Observable,Can be obtained from the monitored traffic without requiring responder traffic.
Encrypted_Malware,Source Port,Observable,Can be obtained from the monitored traffic without requiring responder traffic.
Encrypted_Malware,Destination Port,Observable,Can be obtained from the monitored traffic without requiring responder traffic.
Encrypted_Malware,Protocol,Observable,Can be obtained from the monitored traffic without requiring responder traffic.
Encrypted_Malware,TLS/QUIC Version,Observable,Protocol/session metadata can be observed without decrypting the payload.
Encrypted_Malware,Packet Length,Observable,Packet size is observable directly from encrypted traffic.
Encrypted_Malware,Packet Length Statistics,Discussion/validate,"The underlying measurement can be derived from observed packets, but the dataset's exact definition must be validated for strict one-way use."
Encrypted_Malware,Inter-Arrival Time,Discussion/validate,"The underlying measurement can be derived from observed packets, but the dataset's exact definition must be validated for strict one-way use."
Encrypted_Malware,Flow Duration,Discussion/validate,"The underlying measurement can be derived from observed packets, but the dataset's exact definition must be validated for strict one-way use."
Encrypted_Malware,Forward Packet Count,Observable,Can be calculated from packets observed in the monitored forward direction.
Encrypted_Malware,Backward Packet Count,Responder-dependent,Requires observing traffic in the reverse/responder direction.
Encrypted_Malware,Forward Byte Count,Observable,Can be calculated from packets observed in the monitored forward direction.
Encrypted_Malware,Backward Byte Count,Responder-dependent,Requires observing traffic in the reverse/responder direction.
Encrypted_Malware,TLS Metadata,Observable,Protocol/session metadata can be observed without decrypting the payload.
Encrypted_Malware,Payload Content,Responder-dependent,Encrypted payload content is not available as usable content to a passive observer; encryption prevents payload inspection.
Encrypted_Malware,Malware Label,Excluded/label,"Classification target, not an input feature."
Data_Exfiltration,Flow ID,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Source IP,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Source Port,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Destination IP,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Destination Port,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Protocol,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Timestamp,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Flow Duration,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Total Fwd Packets,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Total Backward Packets,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Total Length of Fwd Packets,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Total Length of Bwd Packets,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Fwd Packet Length Max,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Fwd Packet Length Min,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Fwd Packet Length Mean,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Fwd Packet Length Std,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Bwd Packet Length Max,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Bwd Packet Length Min,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Bwd Packet Length Mean,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Bwd Packet Length Std,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Flow Bytes/s,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Flow Packets/s,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Flow IAT Mean,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Flow IAT Std,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Flow IAT Max,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Flow IAT Min,Responder-dependent,Original CICFlowMeter value is flow-wide/bidirectional and is not safe for strict one-way observation.
Data_Exfiltration,Fwd IAT Total,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Fwd IAT Mean,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Fwd IAT Std,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Fwd IAT Max,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Fwd IAT Min,Observable,Can be obtained from the monitored/forward direction without requiring responder traffic.
Data_Exfiltration,Bwd IAT Total,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Bwd IAT Mean,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Bwd IAT Std,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Bwd IAT Max,Responder-dependent,Requires traffic from the reverse/responder direction.
Data_Exfiltration,Bwd IAT Min,Responder-dependent,Requires traffic from the reverse/responder direction.
